Aspergillus oerlinghausenensis, fungi
Aspergillus olivimuriae, fungi
Aspergillus oryzae, fungi
Aspergillus parasiticus, fungi
Aspergillus persii, fungi
Aspergillus phoenicis, fungi
Aspergillus piperis, fungi
Aspergillus pseudocaelatus, fungi
Aspergillus pseudonomiae, fungi
Aspergillus pseudotamarii, fungi
Aspergillus pseudoterreus, fungi
Aspergillus pseudoviridinutans, fungi
Aspergillus puulaauensis, fungi
Aspergillus quadrilineatus, fungi
Aspergillus rambellii, fungi
Aspergillus ruber, fungi
Aspergillus saccharolyticus, fungi
Aspergillus sclerotialis, fungi
Aspergillus sclerotiicarbonarius, fungi
Aspergillus sclerotioniger, fungi
Aspergillus sclerotiorum, fungi
Aspergillus sergii, fungi
Aspergillus sojae, fungi
Aspergillus sp. 2663, fungi
Aspergillus sp. A31, fungi
Aspergillus sp. ADI1, fungi
Aspergillus sp. ATCC 12892, fungi
Aspergillus sp. GbtcF1, fungi
Aspergillus sp. GbtcF2, fungi
Aspergillus sp. HF37, fungi
Aspergillus sp. JS3-R5, fungi
Aspergillus sp. MA 6037, fungi
Aspergillus sp. MA 6041, fungi
Aspergillus sp. MCCF 102, fungi
Aspergillus sp. MEXU 27854, fungi
Aspergillus sp. Z5, fungi
Aspergillus spinulosporus, fungi
Aspergillus steynii, fungi
Aspergillus sydowii, fungi
Aspergillus taichungensis, fungi
Aspergillus tamarii, fungi
Aspergillus tanneri, fungi
Aspergillus terreus, fungi
Aspergillus thermomutatus, fungi
Aspergillus transmontanensis, fungi
Aspergillus tritici, fungi
Aspergillus tubingensis, fungi
Aspergillus turcosus, fungi
Aspergillus udagawae, fungi
Aspergillus unguis, fungi
Aspergillus ustus, fungi
Aspergillus uvarum, fungi
Aspergillus vadensis, fungi
Aspergillus versicolor, fungi
Aspergillus violaceofuscus, fungi
Aspergillus viridinutans, fungi
Aspergillus welwitschiae, fungi
Aspergillus wentii, fungi
Aspergillus westerdijkiae, fungi
Asterophora lycoperdoides, fungi
Asterophora parasitica, fungi
Astraeus odoratus, fungi
Athelia rolfsii, fungi
Athelia sp. TMB, fungi
Atkinsonella hypoxylon, fungi
Atkinsonella texensis, fungi
Aulographum hederae, fungi
Aureobasidium leucospermi, fungi
Aureobasidium melanogenum, fungi
Aureobasidium mustum, fungi
Aureobasidium namibiae, fungi
Aureobasidium pullulans, fungi
Aureobasidium sp. EXF-3399, fungi
Aureobasidium sp. FSWF8-4, fungi
Aureobasidium sp. P6, fungi
Aureobasidium sp. SLJ-2021a, fungi
Aureobasidium subglaciale, fungi
Aureobasidium uvarum, fungi
Aureobasidium vineae, fungi
Auricularia auricula-judae, fungi
Auricularia cornea, fungi
Auricularia heimuer, fungi
Auricularia polytricha, fungi
Auricularia subglabra, fungi
Auriculariopsis ampla, fungi
Auriscalpium microsporum, fungi
Auriscalpium orientale, fungi
Auriscalpium vulgare, fungi
Austropuccinia psidii, fungi
Babjeviella inositovora, fungi
Bacidia gigantensis, fungi
Baeospora myosura, fungi
Balansia obtecta, fungi
Barnettozyma botsteinii, fungi
Barnettozyma californica, fungi
Barnettozyma hawaiiensis, fungi
Barnettozyma populi, fungi
Barnettozyma pratensis, fungi
Barnettozyma salicaria, fungi
Basidioascus undulatus, fungi
Basidiobolus heterosporus, fungi
Basidiobolus meristosporus, fungi
Basipetospora chlamydospora, fungi
Batrachochytrium dendrobatidis, fungi
Batrachochytrium salamandrivorans, fungi
Baudoinia panamericana, fungi
Beauveria bassiana, fungi
Beauveria brongniartii, fungi
Beauveria felina, fungi
Beauveria pseudobassiana, fungi
Beauveria rudraprayagi, fungi
Beauveria sp. IMV 00265, fungi
Berkeleyomyces basicola, fungi
Beverwykella pulmonaria, fungi
Bifiguratus adelaidae, fungi
Bimuria novae-zelandiae, fungi
Bipolaris cookei, fungi
Bipolaris maydis, fungi
Bipolaris oryzae, fungi
Bipolaris sorokiniana, fungi
Bipolaris victoriae, fungi
